"# PARAMS: predictXGB.R --data /data/gene_expression/shiny/prot-atlas-gbm/data/sample_prot.rds --models data/list_xgb-gbm_64_signatures-prot-v01.RData --out_csv predict_sample_prot.csv --out_rdata predict_sample_prot.RData"
GENESET,NUMBER_GENES_MODEL,RATIO_UNMAPPED,P19_MVP,P11_WHOLE,P11_CT,P4_IT
ABRAMSON_INTERACT_WITH_AIRE,3025,0.000, 0.3447,-0.2998, 0.4917, 0.4127
BENPORATH_ES_1,3025,0.000,-0.5370,-0.2376,-0.0777, 0.4507
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,3025,0.000, 0.3794, 0.5466, 0.1856,-0.1588
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP,3025,0.000, 1.4332, 1.0669, 1.1916,-0.0012
BROWN_MYELOID_CELL_DEVELOPMENT_UP,3025,0.000, 0.9996, 1.3147, 1.1242,-0.5923
CHEN_METABOLIC_SYNDROM_NETWORK,3025,0.000, 1.4879, 0.6043, 0.3161,-0.4850
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP,3025,0.000,-1.4847,-1.0219,-0.2015, 1.1172
GU_PDEF_TARGETS_UP,3025,0.000, 2.0085, 1.0880, 0.8750,-0.8519
HOLLERN_EMT_BREAST_TUMOR_UP,3025,0.000,1.2778,0.8409,1.1661,0.3340
HUMMERICH_SKIN_CANCER_PROGRESSION_UP,3025,0.000, 1.1281, 1.1716, 0.1646,-0.7719
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR,3025,0.000, 1.0307, 1.0561,-0.1847,-0.4873
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP,3025,0.000, 1.3254, 1.3332, 0.4220,-0.7543
KEGG_FOCAL_ADHESION,3025,0.000, 2.2470, 0.9355, 0.6401,-0.7005
LEE_AGING_CEREBELLUM_UP,3025,0.000,1.2329,0.5632,0.8968,0.0474
LEIN_LOCALIZED_TO_PROXIMAL_DENDRITES,3025,0.000,-1.6197,-1.0239, 0.0306, 0.5529
LEIN_OLIGODENDROCYTE_MARKERS,3025,0.000,-1.1831,-0.5771,-0.4642, 0.8099
LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_UP,3025,0.000, 1.2534, 1.3066,-0.8488,-0.0863
LIN_NPAS4_TARGETS_UP,3025,0.000,-0.5434,-0.4474, 0.2093, 0.2955
MCBRYAN_PUBERTAL_TGFB1_TARGETS_UP,3025,0.000, 1.3191, 0.7083, 0.4025,-0.3060
MCCLUNG_CREB1_TARGETS_UP,3025,0.000,-0.9349,-0.8867, 0.2096, 0.5694
MCLACHLAN_DENTAL_CARIES_UP,3025,0.000, 1.2340, 1.2918, 0.6098,-0.7326
MIKKELSEN_MEF_LCP_WITH_H3K4ME3,3025,0.000, 1.4846, 0.8485, 0.2548,-0.7672
MULLIGHAN_MLL_SIGNATURE_1_UP,3025,0.000, 1.3281, 1.4426,-0.1511,-1.0193
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP,3025,0.000, 1.2275, 0.9894, 0.1947,-0.4528
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP,3025,0.000, 0.7530, 0.8170, 0.4721,-0.3140
PID_AVB3_INTEGRIN_PATHWAY,3025,0.000, 1.8230, 1.1860, 0.3602,-0.6748
PID_INTEGRIN1_PATHWAY,3025,0.000, 1.9164, 1.0801, 0.4768,-0.7563
QI_PLASMACYTOMA_UP,3025,0.000, 1.7980, 0.8632, 0.3341,-1.0759
RASHI_RESPONSE_TO_IONIZING_RADIATION_2,3025,0.000, 1.2522, 1.0745, 0.5975,-0.8401
REACTOME_CHROMATIN_MODIFYING_ENZYMES,3025,0.000,0.4639,0.1518,0.5800,0.0190
REACTOME_COLLAGEN_FORMATION,3025,0.000, 1.7599, 1.0041, 0.1734,-0.8728
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_,3025,0.000,-1.4752,-0.4631,-0.9147, 0.3075
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,3025,0.000, 2.0182, 0.9741, 0.5951,-0.8587
REACTOME_MRNA_SPLICING,3025,0.000,0.5005,0.1217,0.3718,0.2640
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,3025,0.000, 1.9147, 1.4999, 1.0532,-1.2909
REACTOME_RECYCLING_PATHWAY_OF_L1,3025,0.000,-1.0703,-0.6011,-0.3082, 0.4614
REACTOME_SIGNALING_BY_MET,3025,0.000, 2.0718, 1.0892, 0.4709,-0.9406
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS,3025,0.000, 0.6740, 0.2041, 0.2023,-0.3875
RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_UP,3025,0.000, 0.7534, 0.7580,-0.9410,-0.6288
RUIZ_TNC_TARGETS_UP,3025,0.000,1.0506,1.0085,0.4692,0.2929
